n =  4253, term = 12, ratio = 1.025414, overshoot = 2.424816e+1921
n =  4266, term = 13, ratio = 1.041859, overshoot = 4.187904e+1927
n =  4278, term = 12, ratio = 1.015508, overshoot = 4.067432e+1932
n =  4291, term = 13, ratio = 1.027124, overshoot = 7.459464e+1938
n =  4303, term = 12, ratio = 1.001737, overshoot = 1.252492e+1943
n =  4316, term = 13, ratio = 1.037321, overshoot = 1.410642e+1950
n =  4328, term = 12, ratio = 1.010448, overshoot = 1.035274e+1955
n =  4341, term = 13, ratio = 1.028030, overshoot = 2.912242e+1961
n =  4354, term = 13, ratio = 1.066869, overshoot = 3.642482e+1967
n =  4366, term = 12, ratio = 1.040162, overshoot = 5.734846e+1972
n =  4378, term = 12, ratio = 1.014039, overshoot = 5.255225e+1977
n =  4391, term = 13, ratio = 1.035434, overshoot = 1.390807e+1984
n =  4404, term = 13, ratio = 1.032422, overshoot = 1.334425e+1990
n =  4416, term = 12, ratio = 1.004071, overshoot = 4.392409e+1994
n =  4429, term = 13, ratio = 1.049178, overshoot = 2.781850e+2001
n =  4441, term = 12, ratio = 1.023876, overshoot = 3.540429e+2006
n =  4454, term = 13, ratio = 1.043791, overshoot = 6.809099e+2012
n =  4466, term = 12, ratio = 1.014976, overshoot = 6.104338e+2017
n =  4479, term = 13, ratio = 1.025485, overshoot = 1.089258e+2024
n =  4492, term = 13, ratio = 1.064380, overshoot = 1.442650e+2030
n =  4504, term = 12, ratio = 1.039796, overshoot = 2.337709e+2035
n =  4516, term = 12, ratio = 1.009434, overshoot = 1.452749e+2040
n =  4529, term = 13, ratio = 1.025738, overshoot = 4.155970e+2046
n =  4542, term = 13, ratio = 1.071191, overshoot = 6.026794e+2052
n =  4554, term = 12, ratio = 1.046676, overshoot = 1.035834e+2058
n =  4566, term = 12, ratio = 1.014170, overshoot = 8.243677e+2062
n =  4579, term = 13, ratio = 1.033535, overshoot = 2.045664e+2069
n =  4591, term = 12, ratio = 1.007260, overshoot = 1.160896e+2074
n =  4604, term = 13, ratio = 1.019747, overshoot = 3.311169e+2080
n =  4617, term = 13, ratio = 1.049568, overshoot = 4.357633e+2086
n =  4629, term = 12, ratio = 1.021922, overshoot = 5.052057e+2091
n =  4642, term = 13, ratio = 1.040629, overshoot = 9.818184e+2097
n =  4654, term = 12, ratio = 1.015007, overshoot = 9.506851e+2102
n =  4667, term = 13, ratio = 1.022759, overshoot = 1.511749e+2109
n =  4680, term = 13, ratio = 1.060578, overshoot = 2.109686e+2115
n =  4692, term = 12, ratio = 1.035196, overshoot = 3.213124e+2120
n =  4704, term = 12, ratio = 1.009589, overshoot = 2.294838e+2125
n =  4717, term = 13, ratio = 1.022231, overshoot = 5.578699e+2131
n =  4730, term = 13, ratio = 1.066600, overshoot = 8.762388e+2137
n =  4742, term = 12, ratio = 1.041285, overshoot = 1.423917e+2143
n =  4754, term = 12, ratio = 1.015777, overshoot = 1.426431e+2148
n =  4767, term = 13, ratio = 1.029605, overshoot = 2.806726e+2154
n =  4779, term = 12, ratio = 1.001805, overshoot = 4.486033e+2158
n =  4792, term = 13, ratio = 1.013551, overshoot = 3.531474e+2165
